"","ProductHouse","Date","LC","NB"
"1","Investo","2010-02-01",1922,1702
"2","Myriad","2010-02-01",2740,3952
"3","Investo","2010-03-01",1893,1998
"4","Myriad","2010-03-01",2695,3922
"5","Investo","2010-04-01",1587,1443
"6","Myriad","2010-04-01",2436,4400
"7","Investo","2010-05-01",1787,2320
"8","Myriad","2010-05-01",2176,4022
"9","Investo","2010-06-01",1723,1859
"10","Myriad","2010-06-01",2316,1826
"11","Investo","2010-07-01",1820,2050
"12","Myriad","2010-07-01",2236,2416
"13","Investo","2010-08-01",1718,2163
"14","Myriad","2010-08-01",2038,1478
"15","Investo","2010-09-01",1712,2155
"16","Myriad","2010-09-01",2446,1418
"17","Investo","2010-10-01",1600,1915
"18","Myriad","2010-10-01",1958,482
"19","Investo","2010-11-01",1558,1940
"20","Myriad","2010-11-01",2404,984
"21","Investo","2010-12-01",1418,1916
"22","Myriad","2010-12-01",2404,670
"23","Investo","2011-01-01",1275,1846
"24","Myriad","2011-01-01",1822,736
"25","Investo","2011-02-01",1628,1881
"26","Myriad","2011-02-01",2184,662
"27","Investo","2011-03-01",1670,2419
"28","Myriad","2011-03-01",1974,564
"29","Investo","2011-04-01",1224,2136
"30","Myriad","2011-04-01",1850,242
"31","Investo","2011-05-01",1348,1985
"32","Myriad","2011-05-01",2194,476
"33","Investo","2011-06-01",1485,2002
"34","Myriad","2011-06-01",1948,898
"35","Investo","2011-07-01",1274,2150
"36","Myriad","2011-07-01",1948,588
"37","Investo","2011-08-01",1466,2324
"38","Myriad","2011-08-01",1642,1216
"39","Investo","2011-09-01",1538,2342
"40","Myriad","2011-09-01",1706,584
"41","Investo","2011-10-01",1438,2204
"42","Myriad","2011-10-01",1528,3480
"43","Investo","2011-11-01",1461,2231
"44","Myriad","2011-11-01",2204,6741
"45","Investo","2011-12-01",1070,1789
"46","Myriad","2011-12-01",2636,3854
"47","Investo","2012-01-01",996,1726
"48","Myriad","2012-01-01",2256,1626
"49","Investo","2012-02-01",1496,1925
"50","Myriad","2012-02-01",2832,1832
"51","Investo","2012-03-01",1529,2197
"52","Myriad","2012-03-01",2530,1388
"53","Investo","2012-04-01",1477,2055
"54","Myriad","2012-04-01",2136,1204
"55","Investo","2012-05-01",1646,1758
"56","Myriad","2012-05-01",2472,1214
"57","Investo","2012-06-01",1494,1951
"58","Myriad","2012-06-01",2156,1552
"59","Investo","2012-07-01",1571,2098
"60","Myriad","2012-07-01",2007,1406
"61","Investo","2012-08-01",1556,2266
"62","Myriad","2012-08-01",2156,1823
"63","Investo","2012-09-01",1238,2363
"64","Myriad","2012-09-01",2096,2382
"65","Investo","2012-10-01",1726,2086
"66","Myriad","2012-10-01",1850,10546
"67","Investo","2012-11-01",1637,2000
"68","Myriad","2012-11-01",2686,16986
"69","Investo","2012-12-01",1373,1665
"70","Myriad","2012-12-01",2740,12048
"71","Investo","2013-01-01",1335,1824
"72","Myriad","2013-01-01",3628,12100
"73","Investo","2013-02-01",1462,2023
"74","Myriad","2013-02-01",4210,12046
"75","Investo","2013-03-01",1414,2518
"76","Myriad","2013-03-01",3964,8022
"77","Investo","2013-04-01",1857,2266
"78","Myriad","2013-04-01",4010,10772
"79","Investo","2013-05-01",1724,2311
"80","Myriad","2013-05-01",3762,6563
"81","Investo","2013-06-01",1724,2375
"82","Myriad","2013-06-01",3746,11348
"83","Investo","2013-07-01",2020,2263
"84","Myriad","2013-07-01",4080,13712
"85","Investo","2013-08-01",1940,2314
"86","Myriad","2013-08-01",3624,6335
"87","Investo","2013-09-01",2046,2285
"88","Myriad","2013-09-01",4272,9630
"89","Investo","2013-10-01",2211,2182
"90","Myriad","2013-10-01",4050,5622
"91","Investo","2013-11-01",1985,2144
"92","Myriad","2013-11-01",3670,5258
"93","Investo","2013-12-01",1721,1904
"94","Myriad","2013-12-01",3434,2016
"95","Investo","2014-01-01",1686,1913
"96","Myriad","2014-01-01",4134,3258
"97","Investo","2014-02-01",1841,2112
"98","Myriad","2014-02-01",3552,2180
"99","Investo","2014-03-01",1851,2266
"100","Myriad","2014-03-01",3918,7915
"101","Investo","2014-04-01",1869,2292
"102","Myriad","2014-04-01",3352,11824
"103","Investo","2014-05-01",1701,2206
"104","Myriad","2014-05-01",4024,4774
"105","Investo","2014-06-01",1799,2326
"106","Myriad","2014-06-01",3804,1000
"107","Investo","2014-07-01",1960,2438
"108","Myriad","2014-07-01",4218,448
"109","Investo","2014-08-01",1840,2704
"110","Myriad","2014-08-01",3006,316
"111","Investo","2014-09-01",2251,2832
"112","Myriad","2014-09-01",2810,264
