"","Date","PrimaryCauseDescription","TotalPaidOut","Percentage"
"1","2011-12-01","Cardiovascular",23212577,0.312523
"2","2011-12-01","Cancer",16935334,0.228009
"3","2011-12-01","Natural Causes",8874999,0.119488
"4","2011-12-01","Accident",4983919,0.067101
"5","2011-12-01","Musculoskeletal",4698166,0.063253
"6","2011-12-01","Respiratory",3485021,0.04692
"7","2011-12-01","Nervous system",2241891,0.030183
"8","2011-12-01","Ear, Nose and Throat",2240431,0.030164
"9","2011-12-01","Gastrointestinal",2052585,0.027635
"10","2011-12-01","Urogenital system",1578367,0.02125
"11","2011-12-01","Visual",983919,0.013247
"12","2011-12-01","Surgery",786610,0.01059
"13","2011-12-01",NA,629518,0.008475
"14","2011-12-01","Skin",615925,0.008292
"15","2011-12-01","Hematological",328860,0.004427
"16","2011-12-01","Suicide",264052,0.003555
"17","2011-12-01","Psychiatric / Mental",155124,0.002088
"18","2011-12-01","Fractures and Hospitalisation",90000,0.001211
"19","2011-12-01","Endocrine / metabolic system",89018,0.001198
"20","2011-12-01","HIV/AIDS",28336,0.000381
"21","2012-01-01","Cardiovascular",22579954,0.245747
"22","2012-01-01","Cancer",18759830,0.204171
"23","2012-01-01","Respiratory",12495692,0.135996
"24","2012-01-01","Natural Causes",10180349,0.110797
"25","2012-01-01","Nervous system",5797500,0.063096
"26","2012-01-01","Accident",5443249,0.059241
"27","2012-01-01","Under investigation",5350000,0.058226
"28","2012-01-01","Urogenital system",2874753,0.031287
"29","2012-01-01","Musculoskeletal",2536620,0.027607
"30","2012-01-01","Suicide",2106553,0.022926
"31","2012-01-01","Hematological",883036,0.00961
"32","2012-01-01","Psychiatric / Mental",537619,0.005851
"33","2012-01-01","Surgery",468607,0.0051
"34","2012-01-01","Endocrine / metabolic system",356978,0.003885
"35","2012-01-01","Visual",352738,0.003838
"36","2012-01-01","Murder",307511,0.003346
"37","2012-01-01","Fractures and Hospitalisation",233251,0.002538
"38","2012-01-01","Gastrointestinal",217600,0.002368
"39","2012-01-01",NA,205000,0.002231
"40","2012-01-01","Skin",175446,0.001909
"41","2012-01-01","Product",10500,0.000114
"42","2012-01-01","HIV/AIDS",10000,0.000108
"43","2012-02-01","Cancer",41666229,0.235818
"44","2012-02-01","Accident",25847703,0.14629
"45","2012-02-01","Cardiovascular",25334203,0.143384
"46","2012-02-01","Surgery",24592115,0.139184
"47","2012-02-01","Murder",13275489,0.075135
"48","2012-02-01","Natural Causes",12917503,0.073109
"49","2012-02-01","Suicide",6967884,0.039436
"50","2012-02-01","Respiratory",5711595,0.032325
"51","2012-02-01","Nervous system",5695388,0.032234
"52","2012-02-01","Hematological",5196980,0.029413
"53","2012-02-01","Gastrointestinal",2651210,0.015005
"54","2012-02-01","Visual",2119788,0.011997
"55","2012-02-01","Urogenital system",1193361,0.006754
"56","2012-02-01","Musculoskeletal",1189260,0.00673
"57","2012-02-01","Psychiatric / Mental",958104,0.005422
"58","2012-02-01","Endocrine / metabolic system",885440,0.005011
"59","2012-02-01","Under investigation",260000,0.001471
"60","2012-02-01","Ear, Nose and Throat",120000,0.000679
"61","2012-02-01","Fractures and Hospitalisation",105200,0.000595
"62","2012-03-01","Cancer",44417023,0.247593
"63","2012-03-01","Cardiovascular",38093787,0.212346
"64","2012-03-01","Natural Causes",30757572,0.171451
"65","2012-03-01","Accident",24002465,0.133796
"66","2012-03-01","Nervous system",10460298,0.058308
